date,category,amount,note
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
