date,category,amount,note
2024-01-02,food,12.34,coffee
2024-01-02,food,12.34,test
2024-01-02,food,12.34,test
2024-01-02,food,12.34,test
2024-01-02,food,12.34,coffee
2024-01-02,food,12.34,coffee
2024-01-02,food,12.34,café
2024-01-02,food,12.34,café
2024-01-15,other,9.99,note
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-07-23,food,12.5,Lunch at café
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
2024-08-10,transport,20.0,Metro card
